day,series,team 1,t1 goals,team 2,t2 goals,first half,second half,et 1,et 2,pk
1,1,qatar,"16, 31",ecuador,,51,96,0,0,0
1,2,england,"35, 43, 46*, 62, 71, 90",iran,"65, 113",59,104,0,0,0
1,3,senegal,,netherlands,"84, 99",48,101,0,0,0
1,4,usa,36,wales,82,48,101,0,0,0
2,5,argentina,10,saudi arabia,"48, 53",52,104,0,0,0
2,6,denmark,,tunisia,,50,98,0,0,0
2,7,mexico,,poland,,48,98,0,0,0
2,8,france,"9, 32, 68, 71",australia,27,52,98,0,0,0
3,9,morocco,,croatia,,48,97,0,0,0
3,10,germany,33,japan,"75, 83",51,99,0,0,0
3,11,spain,"11, 21, 31, 54, 74, 90, 92",costa rica,,51,99,0,0,0
3,12,belgium,44,canada,,50,96,0,0,0
4,13,switzerland,48,cameroon,,48,97,0,0,0
4,14,uruguay,,korea,,47,98,0,0,0
4,15,portugal,"65, 78, 80",ghana,"73, 89",47,101,0,0,0
4,16,brazil,"62, 73",serbia,,47,98,0,0,0
5,17,wales,,iran,"98, 101",50,103,0,0,0
5,18,qatar,78,senegal,"41, 48, 84",53,98,0,0,0
5,19,netherlands,6,ecuador,49,49,97,0,0,0
5,20,england,,usa,,47,95,0,0,0
6,21,tunisia,,australia,23,51,97,0,0,0
6,22,poland,"39, 82",saudi arabia,,56,98,0,0,0
6,23,france,"61, 86",denmark,68,49,98,0,0,0
6,24,argentina,"64, 87",mexico,,51,97,0,0,0
7,25,japan,,costa rica,81,47,97,0,0,0
7,26,belgium,,morocco,"73, 92",49,96,0,0,0
7,27,croatia,"36, 44, 70, 94",canada,2,51,97,0,0,0
7,28,spain,62,germany,83,48,96,0,0,0
8,29,cameroon,"29, 63, 66",serbia,"46*, 48*, 53",53,97,0,0,0
8,30,korea,"58, 61",ghana,"24, 34, 68",51,101,0,0,0
8,31,brazil,83,switzerland,,47,96,0,0,0
8,32,portugal,"54, 93",uruguay,,49,101,0,0,0
9,33,ecuador,67,senegal,"44, 70",52,97,0,0,0
9,33,netherlands,"26, 49",qatar,,49,97,0,0,0
9,34,wales,,england,"50, 51, 68",51,95,0,0,0
9,34,iran,,usa,38,53,100,0,0,0
10,35,australia,60,denmark,,47,97,0,0,0
10,35,tunisia,58,france,,48,103,0,0,0
10,36,saudi arabia,95,mexico,"47, 52",52,97,0,0,0
10,36,poland,,argentina,"46, 67",49,97,0,0,0
11,37,canada,40@,morocco,"4, 23",51,94,0,0,0
11,37,croatia,,belgium,,50,95,0,0,0
11,38,costa rica,"58, 70",germany,"10, 73, 85, 89",47,101,0,0,0
11,38,japan,"48, 51",spain,11,47,98,0,0,0
12,39,ghana,,uruguay,"26, 32",54,100,0,0,0
12,39,korea,"27, 91",portugal,5,48,97,0,0,0
12,40,cameroon,92,brazil,,49,101,0,0,0
12,40,serbia,"26, 35",switzerland,"20, 44, 48",48,101,0,0,0
13,41,netherlands,"10, 46*. 81",usa,76,47,97,0,0,0
13,42,argentina,"35, 57",australia,77@,48,98,0,0,0
14,43,france,"44, 74, 91",poland,99,48,100,0,0,0
14,44,england,"39, 48*, 57",senegal,,49,95,0,0,0
15,45,japan,43,croatia,55,48,95,107,122,5
15,46,brazil,"7, 13, 29, 36",korea,76,50,95,0,0,0
16,47,morocco,,spain,,46,96,107,124,6
16,48,portugal,"17, 33, 51, 55, 67, 92",switzerland,58,49,95,0,0,0
17,49,croatia,117,brazil,106,47,94,108,123,6
17,50,netherlands,"83, 101",argentina,"35, 73",52,103,106,122,8
18,51,morocco,42,portugal,,48,99,0,0,0
18,52,france,"17, 78",england,54,50,101,0,0,0
19,53,argentina,"34, 39, 69",croatia,,50,96,0,0,0
